R1,R2,R3,R4,R5,R6,R7,R8,I1,I2,I3,I4,I5,I6,I7,I8,A1,A2,A3,A4,A5,A6,A7,A8,S1,S2,S3,S4,S5,S6,S7,S8,E1,E2,E3,E4,E5,E6,E7,E8,C1,C2,C3,C4,C5,C6,C7,C8,education,major
3,1,1,1,1,1,2,1,3,3,2,4,3,2,1,1,5,3,3,5,4,5,3,3,2,4,5,4,5,3,3,3,2,3,3,4,3,3,5,3,4,3,3,5,4,4,4,3,2,accounting
3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,0,1,1,3,4,5,3,1,5,1,3,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,psychology
1,1,1,1,1,1,1,1,2,4,2,2,1,2,2,3,5,4,3,5,4,5,1,4,4,4,4,3,4,3,3,4,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,music
5,1,1,2,1,1,1,1,5,1,1,3,4,4,5,1,3,3,4,3,4,1,4,4,5,4,3,3,4,5,5,4,3,3,3,3,3,4,3,3,4,4,4,2,3,1,2,3,2,Pre-Nursing
3,1,1,1,1,1,1,1,3,3,3,3,3,3,1,1,3,3,3,3,5,5,1,3,5,5,5,5,5,3,5,5,5,5,5,3,5,5,5,5,1,5,5,3,3,1,5,5,3,literature
3,1,1,2,1,2,2,1,5,3,5,5,5,1,5,1,2,1,1,1,1,2,1,1,3,5,5,2,5,2,5,5,1,3,1,2,4,2,1,2,4,4,5,4,5,3,4,5,3,Public Health
3,1,1,2,1,1,1,1,3,0,5,5,4,4,5,5,5,3,5,3,5,3,4,3,3,5,5,4,5,5,5,3,4,1,5,4,5,2,5,2,5,5,5,5,5,5,5,5,2,civil engineering
1,1,1,1,1,1,1,1,4,2,3,2,3,2,2,2,4,5,5,4,5,4,1,5,2,4,3,4,4,3,4,3,1,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,3,Graphic Design
3,1,2,2,2,2,2,2,4,2,2,2,2,3,2,2,3,2,3,3,3,3,3,3,5,5,2,3,4,3,3,1,3,2,3,2,4,2,4,2,3,3,2,3,3,2,4,3,3,Social Work
3,4,1,2,1,3,3,4,3,3,1,1,1,1,2,2,3,3,5,1,1,5,2,4,1,3,3,3,3,3,3,4,3,3,3,3,1,5,2,3,3,3,1,3,1,3,1,1,2,art
3,5,1,3,1,5,1,5,4,5,5,1,1,4,1,5,5,2,5,3,3,5,1,5,3,1,1,5,4,3,3,3,5,4,4,3,5,4,5,2,2,4,4,4,5,5,3,4,3,geography/GIS
5,3,1,1,1,1,2,2,4,4,4,2,4,4,4,2,2,1,1,1,1,4,2,1,1,3,2,1,2,1,1,1,1,1,1,1,2,2,1,2,2,4,2,4,4,3,4,5,3,Sociology
4,4,4,4,3,5,4,1,5,5,5,5,5,5,5,1,3,4,2,5,5,5,2,3,2,3,2,5,4,4,4,4,1,3,2,1,4,2,1,3,4,4,4,4,3,5,3,3,4,institute kitchen services
1,1,1,1,1,1,1,1,2,4,3,1,1,3,1,1,1,1,2,1,1,4,1,1,2,3,4,1,4,1,3,2,3,3,2,1,4,1,1,1,4,3,4,4,4,3,3,3,3,Culinary
3,2,1,2,3,3,2,2,4,3,3,2,3,4,3,2,2,2,2,2,2,3,2,3,4,3,3,3,4,3,4,4,2,2,3,3,3,3,3,4,2,3,3,3,2,2,2,3,3,Business
3,3,2,2,4,2,4,2,4,5,2,2,3,3,3,2,3,4,3,2,4,3,2,2,5,4,3,4,4,4,4,3,2,3,2,4,2,3,2,3,4,4,4,3,2,4,2,4,3,psychology
1,4,1,1,1,1,1,4,4,3,1,5,1,1,4,1,5,2,3,5,3,5,1,1,3,3,3,3,2,5,4,4,1,1,1,1,1,1,1,1,4,1,1,1,1,1,4,3,2,Nursing
2,1,1,1,1,1,1,1,4,2,3,2,2,1,2,3,3,4,4,3,5,3,3,3,4,5,4,4,3,2,4,1,1,2,1,2,1,1,1,3,1,1,1,1,1,1,1,1,2,anthropology
5,3,3,1,1,5,5,5,5,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,5,5,5,1,5,5,1,5,1,5,1,5,5,5,3,5,1,3,1,3,1,5,1,3,4,Electronique
1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,5,5,3,3,3,2,2,3,1,2,3,1,3,1,2,1,1,1,1,1,1,1,1,1,4,"Social Work, Counseling"
2,1,3,3,2,1,2,2,3,5,5,4,5,5,5,5,3,4,5,4,5,5,3,5,4,3,5,4,4,4,4,2,3,2,4,1,4,3,3,1,3,3,4,3,4,3,3,3,3,Psychology
3,1,1,1,1,1,3,1,4,4,1,4,2,1,2,1,1,3,5,5,4,2,2,4,5,2,5,3,5,5,5,5,4,4,4,5,4,4,5,3,5,4,5,5,4,4,5,4,3,IT
5,4,1,4,2,4,4,2,4,2,1,4,1,2,2,4,4,2,4,4,4,4,4,4,2,2,1,2,1,2,2,1,1,1,1,1,1,1,2,2,2,2,2,1,4,2,2,2,4,nursing; health physics; graphics
3,1,1,2,3,3,1,1,2,1,2,2,2,1,1,1,5,1,4,4,3,4,2,3,4,3,4,2,3,3,2,3,2,2,3,4,3,4,2,3,1,4,3,3,1,1,2,1,2,-
3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,4,5,4,5,4,4,4,4,3,3,3,4,5,4,3,4,3,4,3,3,4,2,5,2,3,3,3,2,3,2,3,3,Business admin
4,1,1,3,2,4,2,2,1,5,5,1,2,5,2,5,4,1,5,4,4,5,2,4,1,4,2,1,4,1,2,1,1,1,5,1,4,2,4,4,4,3,3,4,5,2,4,4,3,Management
1,1,1,1,1,1,1,1,5,1,1,4,4,1,4,1,3,1,2,2,3,4,1,1,2,1,3,2,4,5,5,5,1,1,1,3,1,1,1,3,3,3,3,3,4,3,1,1,3,Nursing
1,1,1,3,1,4,1,1,1,5,3,2,2,4,2,4,2,3,5,3,5,3,1,4,3,4,3,4,4,2,4,1,1,2,2,2,2,2,2,5,1,1,2,4,2,2,1,2,3,Psychology
1,3,1,1,1,1,1,1,1,2,1,2,3,1,1,1,3,5,5,4,5,5,1,5,5,5,3,4,4,1,3,3,4,1,5,3,5,2,4,3,1,1,2,1,1,2,1,1,4,English
3,4,4,4,3,4,2,3,4,3,4,4,3,2,2,2,2,2,2,3,3,5,4,2,4,5,5,4,4,5,4,4,2,2,2,1,4,1,2,2,2,4,4,4,3,3,3,3,3,pschology
3,4,1,2,1,4,1,2,5,4,5,4,5,5,5,5,3,5,5,3,5,4,2,5,5,3,5,2,5,3,5,2,1,1,4,1,4,2,1,2,4,4,3,4,5,4,3,3,3,"Plant Science, Genetics"
3,3,1,1,1,4,2,4,4,4,3,2,3,4,4,2,2,5,3,3,2,4,2,4,4,1,2,4,2,3,4,2,2,1,4,1,2,2,2,3,1,2,1,3,1,3,2,1,4,clinical psychology 
3,2,1,1,1,1,1,1,4,4,4,4,4,4,4,3,3,3,4,4,4,4,2,3,4,4,3,3,3,3,4,3,2,1,2,2,3,3,2,3,3,2,1,3,2,3,3,2,3,Psychology
2,1,1,2,1,1,1,1,4,4,4,4,4,4,4,3,2,3,4,4,5,3,2,4,4,4,3,3,3,3,3,2,3,1,4,2,5,3,2,2,2,2,2,2,3,3,2,1,4,English
4,2,2,4,2,2,4,2,2,2,4,2,3,2,3,2,2,1,2,1,4,4,1,2,3,3,4,1,5,2,2,2,5,3,5,3,4,2,3,5,4,4,4,3,4,5,4,5,2,ge
2,2,2,1,2,2,1,1,5,3,5,5,5,4,5,4,4,5,2,5,5,5,5,4,4,5,4,5,4,4,4,1,2,1,4,1,4,2,2,1,1,1,1,1,1,1,1,1,3,foreign language
5,4,3,2,3,2,5,3,4,4,3,3,3,3,3,3,3,4,1,1,3,4,4,4,4,4,4,5,5,5,5,4,2,2,4,4,5,4,3,4,5,5,5,5,5,5,5,5,3,bachelor in math and science elementary educa
3,1,1,5,3,3,5,1,5,5,5,1,3,3,1,4,4,5,5,5,5,5,1,5,0,5,5,1,5,2,1,5,3,3,4,5,5,5,5,5,1,5,3,5,1,1,1,3,2,Science Forensic
3,1,1,4,1,1,5,1,5,5,5,5,5,5,5,5,3,3,1,1,1,1,3,1,5,5,5,5,5,1,1,5,1,2,1,1,1,1,1,3,1,3,4,1,5,5,1,1,3,diploma in science
5,3,5,4,3,5,2,3,5,5,5,4,4,5,4,2,4,3,5,5,5,5,3,4,1,4,3,2,2,5,5,3,5,3,5,1,5,4,4,5,1,3,3,1,3,2,1,1,2,engineering
5,1,1,1,1,1,1,1,5,5,5,3,5,5,4,2,4,4,2,3,4,2,2,2,5,3,5,3,5,3,5,3,5,3,5,1,4,3,5,2,2,1,1,5,1,1,1,2,3,law
3,2,1,5,1,5,3,4,5,2,3,5,4,3,3,3,2,2,3,4,3,4,4,3,3,1,2,3,3,2,2,2,4,3,5,3,5,4,4,4,1,3,3,1,3,3,2,3,4,economics
1,2,2,2,2,2,2,1,2,3,3,2,2,2,2,1,1,2,4,2,3,3,4,3,3,3,2,2,3,4,4,2,1,2,2,2,3,3,1,3,3,3,3,2,3,2,1,1,3,business management
5,1,1,4,1,4,4,1,1,1,1,1,1,2,1,1,4,1,0,4,2,4,1,1,5,5,5,4,5,5,5,5,3,1,3,1,1,3,2,4,1,1,1,1,1,4,1,1,4,computer engineer
1,3,2,1,1,3,1,1,5,4,4,5,4,4,3,4,4,4,4,4,5,4,3,5,4,3,1,3,1,1,3,1,2,1,2,2,4,1,2,1,1,1,1,1,2,1,2,1,4,chemical engineering
5,5,1,5,5,5,3,3,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,3,5,5,3,5,5,5,5,3,5,5,5,3,5,5,2,History
4,2,3,2,2,2,2,3,4,4,4,3,4,4,4,3,1,2,1,2,3,3,5,3,2,5,3,2,3,3,3,3,1,2,4,2,2,3,2,2,3,2,2,3,1,2,3,3,2,English
2,3,2,3,2,3,4,3,3,3,2,3,4,3,3,3,4,4,4,4,4,4,3,3,4,2,3,4,4,4,4,3,4,2,3,4,3,4,4,4,2,2,3,3,2,4,3,3,3,electronics
1,1,1,1,1,5,1,2,3,4,4,3,3,4,3,3,2,1,2,5,1,5,1,1,3,5,1,4,1,3,4,1,1,3,3,1,2,3,2,2,3,1,4,3,4,4,3,3,3,English
1,1,1,1,2,1,2,1,1,3,2,3,2,1,2,1,1,3,2,2,1,2,3,2,2,4,1,4,3,2,3,2,0,4,5,3,5,4,4,3,3,2,3,3,1,2,2,2,2,hospitality
3,1,1,1,1,1,1,1,4,4,4,1,2,4,1,1,2,4,5,1,3,1,5,4,4,4,2,4,1,4,3,4,5,1,5,4,5,4,5,4,1,2,3,4,2,3,4,1,3,Russian Language and Literature
1,2,1,2,1,1,1,1,2,3,3,1,1,1,1,1,1,2,2,1,2,2,2,2,3,3,2,1,3,1,2,1,1,2,3,1,3,1,2,1,3,3,2,3,2,1,1,2,3,Information Systems Management
1,2,1,2,2,3,2,2,4,5,4,4,4,4,3,3,4,5,3,5,5,4,2,4,5,5,4,5,4,3,4,4,1,2,2,3,3,3,2,3,1,1,1,1,2,2,1,1,4,Drama
4,3,2,3,3,3,3,3,4,4,3,3,3,4,3,3,2,4,3,5,4,4,3,3,5,5,3,3,4,4,4,3,3,3,3,3,4,3,3,3,3,2,3,1,3,3,3,3,3,Architectural Studies
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,3,5,3,5,5,5,3,5,5,5,5,5,3,5,5,5,3,5,5,1,5,3,1,1,3,1,1,1,1,2,Psychology
1,5,1,2,3,3,1,3,3,5,5,3,5,5,3,5,3,5,5,3,5,5,5,5,3,3,1,5,1,2,5,3,1,1,5,5,5,3,1,3,1,1,1,1,1,5,1,1,3,career and technical education: workforce and
1,3,1,1,1,4,1,3,4,1,2,2,2,2,2,2,3,2,1,2,2,4,1,1,5,4,2,4,4,3,4,2,1,2,2,2,1,1,2,1,2,1,1,1,4,3,3,1,4,Economics
4,2,1,2,2,3,2,2,4,3,3,4,4,4,4,5,2,2,4,2,4,4,1,4,4,4,2,3,2,3,4,2,1,3,2,2,1,3,1,3,2,1,3,2,4,4,3,2,4,political science
5,3,1,1,1,1,1,1,5,5,5,5,5,1,5,1,1,1,3,1,1,5,1,1,5,5,5,1,5,3,5,5,1,1,3,1,3,1,5,1,3,3,1,3,3,3,3,1,4,Psychology
2,2,2,2,2,2,2,2,5,4,4,5,4,5,4,4,4,3,1,3,3,3,3,2,5,5,5,4,5,4,4,5,2,3,3,2,2,2,2,2,3,3,3,2,1,1,2,1,2,Nursing/Psychology
4,3,1,2,3,2,3,1,5,4,4,5,4,4,4,4,3,4,2,3,3,3,1,2,5,5,5,5,5,5,4,5,3,3,3,3,4,2,2,1,3,1,2,3,4,3,2,4,2,psychology
5,2,1,4,3,5,2,1,5,4,1,4,2,1,1,1,1,4,2,3,1,3,1,1,5,2,3,1,5,4,4,1,3,2,3,4,5,3,3,4,1,1,4,3,4,5,1,2,2,pedagogy
2,2,2,4,2,2,1,2,4,4,4,2,2,2,2,2,3,2,2,2,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,4,Finance
5,1,2,1,1,1,1,1,1,2,4,3,3,1,3,1,1,1,1,1,1,4,1,1,4,3,3,1,3,2,1,1,2,1,2,1,3,1,1,1,1,1,1,1,4,1,1,1,4,Chemistry
2,2,2,3,2,3,3,1,3,4,4,3,3,3,3,2,4,3,4,4,4,5,4,4,2,3,2,4,2,2,3,1,2,4,4,3,3,4,3,2,3,3,3,2,3,3,3,2,3,Business Administration
1,1,1,1,1,1,1,1,5,5,4,5,3,3,3,1,3,3,1,3,4,2,1,3,3,4,3,2,4,2,3,4,1,1,4,1,4,1,2,1,1,1,1,2,1,3,1,1,4,Psychology
3,3,1,1,1,1,1,2,2,2,1,4,1,2,3,2,1,5,2,2,5,3,3,4,3,4,5,4,5,5,5,4,1,1,2,1,2,2,2,4,1,1,1,4,1,1,2,2,2,Psychology
3,1,2,1,2,1,2,2,3,1,2,3,3,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,3,2,2,2,3,3,5,5,5,2,3,4,2,Information Technology
3,1,1,2,1,1,1,1,5,4,4,5,4,4,4,4,4,5,4,5,5,5,4,4,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,3,2,1,1,2,Biology
1,1,1,1,1,1,1,1,4,2,1,3,1,1,1,1,1,1,1,3,1,1,1,1,4,4,3,4,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,4,Exercise Science
2,1,1,2,2,4,2,1,4,5,4,4,5,5,4,4,1,4,3,4,5,2,4,4,4,5,4,2,5,3,2,4,3,2,3,3,3,3,3,4,2,2,2,3,3,3,2,2,2,psychology
3,1,1,2,1,2,1,1,4,4,4,4,4,2,3,2,2,2,2,4,5,3,1,2,5,4,5,2,5,5,5,2,1,3,5,4,4,3,1,4,3,2,2,3,4,2,2,1,3,social work
3,1,1,5,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,3,1,1,1,3,3,1,2,3,2,1,3,1,2,4,1,5,1,1,2,4,3,5,5,5,3,3,3,3,Computer science
3,1,1,1,1,2,2,2,5,5,3,3,3,3,4,2,1,3,2,3,3,3,2,2,4,3,4,3,4,3,4,4,1,2,2,1,3,2,3,3,1,2,2,1,2,3,2,2,3,Psychology
3,1,1,2,1,2,2,3,3,4,4,2,1,4,2,3,3,3,3,3,4,3,2,3,4,4,3,5,4,3,4,3,2,3,3,4,2,4,4,4,2,2,2,3,2,2,3,2,4,English
3,2,3,3,3,5,4,4,3,4,2,4,1,3,3,2,1,2,4,4,2,5,2,2,3,4,5,2,5,1,3,1,2,3,1,5,4,5,4,4,4,4,2,4,5,3,4,4,2,phsycology
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,5,1,5,1,5,1,5,3,1,1,1,1,1,1,1,1,1,1,5,3,1,5,1,1,4,interior design; counseling
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,5,2,3,3,4,1,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,3,psychology
3,1,1,1,1,1,1,1,3,5,4,2,3,4,2,1,2,1,1,1,1,4,0,1,5,5,5,3,5,5,5,0,1,3,4,1,3,3,1,3,5,3,4,4,3,3,3,3,3,Sociology
5,3,4,1,1,1,1,5,5,4,4,4,5,5,5,5,5,4,1,4,5,5,5,5,5,3,4,4,5,5,5,5,5,1,4,1,5,5,5,1,5,1,1,4,5,5,5,5,4,civil engineering
1,1,1,1,1,1,1,1,5,5,5,1,4,5,1,4,1,1,1,1,1,5,1,1,5,5,5,4,5,5,5,1,1,1,1,1,1,4,1,1,3,1,4,4,1,3,1,1,2,psychology
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,3,2,1,5,3,3,3,4,4,5,5,3,2,5,2,5,3,5,4,5,4,5,3,3,3,5,4,5,2,N/a 
5,2,1,1,1,1,4,1,4,5,5,1,4,5,5,3,2,1,1,1,1,4,2,2,3,3,3,1,4,4,2,4,1,1,1,2,1,1,1,4,1,2,1,1,1,1,1,1,2,psychology
4,2,3,3,1,3,2,2,5,4,5,5,5,5,5,5,3,1,2,1,3,4,4,2,2,4,2,1,3,4,4,3,1,2,2,1,2,2,2,4,2,2,2,1,4,4,2,1,3,Biology 
1,5,1,3,2,3,3,3,5,5,5,3,5,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,3,5,5,2,4,5,3,3,3,5,3,2,1,3,3,2,Social sciences
3,1,2,2,2,1,2,2,5,5,4,3,1,5,2,4,4,3,4,2,2,4,4,2,4,2,4,4,4,4,4,3,4,3,2,3,3,4,3,3,4,2,3,2,2,3,2,3,2,communitcations
1,1,1,2,1,2,1,1,4,5,4,2,3,4,1,4,5,4,3,5,4,5,1,3,4,5,5,4,5,4,5,3,3,1,4,1,2,2,3,2,2,2,2,2,3,3,2,1,3,organizational management
2,1,1,1,1,1,1,1,2,4,4,1,4,4,3,3,4,4,3,4,4,5,3,3,3,5,3,4,4,5,5,4,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,education
2,1,1,1,4,1,4,3,1,3,3,2,3,3,1,5,1,1,5,1,4,1,1,5,1,3,5,3,5,1,1,3,1,4,3,5,5,5,1,5,1,4,4,5,5,3,5,3,2,nursing
3,4,1,4,1,3,1,2,5,4,4,4,4,4,5,4,5,5,5,5,5,5,5,4,4,3,4,5,5,4,5,4,1,2,3,4,4,3,3,2,1,2,2,1,2,3,2,1,4,English and Education
3,3,1,3,3,4,2,2,4,1,1,1,2,2,3,2,2,1,3,2,1,3,4,1,3,1,4,2,3,3,3,3,1,1,3,4,1,3,3,3,4,3,4,4,3,1,3,4,3,Education
2,2,1,1,1,1,1,1,2,3,3,1,1,4,1,3,4,3,5,4,4,4,5,4,3,5,4,4,4,5,4,4,2,4,1,3,1,3,2,2,1,3,3,2,2,3,1,3,2,Art
2,4,2,2,1,4,3,2,4,4,3,4,2,4,3,1,4,2,4,3,2,4,2,4,3,3,2,4,3,2,4,2,2,4,4,2,3,2,4,4,2,2,4,2,3,1,2,2,3,Accounting
4,3,4,4,2,3,2,1,5,5,5,5,5,4,5,5,1,2,1,3,2,5,2,1,4,5,4,1,2,2,4,5,4,1,3,3,4,3,2,1,2,2,2,1,4,3,2,3,3,Business
2,3,1,1,1,2,1,2,5,4,4,5,5,4,4,4,4,3,3,4,4,4,3,3,4,4,2,2,3,2,4,3,2,1,4,2,4,3,2,4,1,1,1,1,1,3,3,1,4,business
4,2,2,2,2,1,1,2,4,1,2,4,3,1,2,2,3,1,4,4,4,3,2,1,4,4,4,2,3,1,4,2,2,2,4,2,2,1,2,2,3,2,2,2,1,3,2,1,3,Insurance
2,1,1,2,3,3,3,3,4,4,4,3,4,4,4,3,1,2,3,2,2,2,4,2,1,4,2,1,1,1,1,1,1,2,1,1,3,1,4,1,1,1,3,3,3,3,1,2,3,Computer Science
5,1,5,5,1,1,5,1,5,5,5,3,3,5,4,5,1,1,1,1,1,1,4,1,1,1,4,5,1,1,4,5,1,1,5,1,1,1,1,1,1,1,1,0,1,1,1,1,2,kineasiology
1,1,1,1,1,1,1,4,5,5,5,5,5,4,4,0,4,5,3,4,5,5,1,4,4,5,4,4,4,3,4,4,1,1,2,3,2,3,3,4,1,1,1,2,1,0,1,1,3,English
4,5,5,5,3,5,4,3,3,3,3,3,3,3,3,5,3,4,4,4,3,4,4,3,4,4,3,3,2,4,4,3,2,2,3,1,3,3,3,4,3,4,4,2,4,4,2,3,3,mining engineering
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,4,5,4,5,5,4,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,psychology
1,1,1,1,1,1,1,1,5,2,2,2,3,3,3,1,1,1,1,1,3,1,1,1,3,3,2,2,2,2,1,3,2,3,3,2,3,3,1,3,3,3,2,4,3,2,2,3,2,Anthropology
2,1,1,1,1,1,2,1,3,3,1,1,1,2,1,2,4,5,5,5,5,5,5,5,5,3,5,4,4,4,5,4,3,4,3,4,3,3,3,4,2,1,1,2,1,3,2,2,2,Undecided
5,3,2,2,2,2,2,2,5,4,5,2,3,2,2,2,5,2,2,4,3,3,2,2,5,5,3,3,3,2,5,5,4,2,3,1,4,2,5,2,3,0,3,2,3,2,3,2,4,finance
3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,4,3,4,1,1,3,1,1,5,1,3,1,3,1,3,2,4,4,3,1,2,Psychology
4,4,2,4,2,3,2,4,5,5,4,4,4,5,4,3,1,3,4,1,2,3,4,4,3,5,3,5,4,3,2,4,4,4,2,3,4,5,2,4,3,4,5,3,2,3,4,3,2,Occupational Therapy
1,1,1,1,1,1,1,1,5,2,4,4,4,3,4,1,1,1,3,3,2,2,3,1,4,3,5,3,4,3,1,3,2,1,3,2,1,2,2,1,1,1,1,1,1,2,1,1,3,science
3,3,1,5,0,5,3,4,5,5,5,5,5,4,2,1,5,5,1,5,3,5,5,1,5,5,4,5,4,4,5,4,2,5,2,5,3,3,5,1,1,3,3,1,1,5,1,1,2,Nursing
1,1,1,1,1,1,1,1,5,5,4,4,4,4,4,1,4,4,3,3,3,3,4,3,2,4,3,2,3,4,5,4,2,2,2,1,2,2,2,1,3,1,2,1,1,4,1,1,2,biology
5,0,0,0,0,0,5,5,5,5,5,5,5,5,5,0,5,0,0,0,5,0,0,5,5,5,0,5,5,5,5,5,5,0,5,0,0,0,0,0,5,5,0,5,5,5,0,0,4,MBA
3,1,1,1,1,3,1,1,2,3,3,1,2,3,3,2,1,2,3,3,4,2,2,2,3,1,1,2,2,2,2,1,1,1,3,3,1,1,2,1,1,3,2,1,1,1,1,2,4,psychology
2,2,1,1,1,1,1,1,2,2,3,1,2,1,1,1,2,2,4,5,5,5,1,4,3,4,3,2,4,4,5,3,1,3,1,2,1,1,1,1,1,3,1,2,1,1,1,1,3,English
5,1,1,1,1,1,2,1,3,4,2,1,4,2,4,1,1,2,4,1,4,4,4,4,5,5,5,1,5,4,1,4,1,1,4,1,2,4,1,4,0,1,2,4,2,1,1,4,2,psychology
5,2,2,4,1,3,2,2,3,3,1,4,1,2,2,2,3,3,3,5,3,3,3,3,4,4,4,3,4,3,4,4,3,3,2,3,3,3,3,3,2,2,4,3,3,3,3,3,2,electronic engineering
1,1,1,3,1,1,1,1,1,2,1,1,1,2,1,1,3,1,4,4,4,4,1,4,5,5,3,2,5,4,3,2,5,4,5,5,5,4,4,4,3,1,5,4,3,3,5,3,2,business management
5,1,3,5,2,4,3,2,5,4,5,5,5,3,5,2,3,5,3,3,3,5,1,2,3,5,4,5,4,5,5,4,1,1,2,1,5,1,2,2,2,5,4,4,5,5,5,4,4,Electronics
3,2,2,3,3,2,3,2,3,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,4,5,5,5,5,5,5,5,4,5,5,2,5,5,5,3,3,4,5,5,3,3,5,3,3,social work
4,4,2,4,4,2,4,3,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,2,4,2,4,2,1,2,2,1,2,4,4,3,1,2,2,2,4,3,1,4,3,2,2,2,Bioengeneering 
1,1,4,1,1,4,1,3,3,1,3,2,2,2,2,2,3,5,5,4,4,3,5,5,1,4,2,2,2,2,4,3,1,3,4,2,4,2,5,4,1,1,2,3,3,3,2,1,3,Economics
1,1,3,2,2,2,1,2,5,4,5,5,5,4,5,3,2,4,4,4,4,4,3,3,2,3,2,2,2,4,4,2,3,1,3,1,2,2,3,4,2,1,2,1,2,4,2,1,2,currently Physics
1,1,2,1,1,1,1,1,5,4,4,4,3,2,3,1,5,5,5,5,5,5,2,5,5,5,5,3,5,5,5,4,1,1,2,1,4,1,1,3,1,1,1,1,1,1,1,1,3,social work
3,2,1,2,1,4,1,2,4,4,4,4,4,4,2,4,1,2,2,3,5,3,2,2,5,3,2,4,2,1,4,3,3,3,2,1,2,3,2,4,2,3,2,2,4,4,2,3,4,Political Science
